aggregated_amount,time_period
2976522072.97,2019-01-01T00:00:00.000Z
3456510488.94,2019-02-01T00:00:00.000Z
4323422854.35,2019-03-01T00:00:00.000Z
6100703898.03,2019-04-01T00:00:00.000Z
2514302944.42,2019-05-01T00:00:00.000Z
2853803934.92,2019-06-01T00:00:00.000Z
2913663367.99,2019-07-01T00:00:00.000Z
2868725696.95,2019-08-01T00:00:00.000Z
3839356008.58,2019-09-01T00:00:00.000Z
1951634476.44,2019-10-01T00:00:00.000Z
19949489750.78,2019-11-01T00:00:00.000Z
7763135827.25,2019-12-01T00:00:00.000Z
2337770797.62,2020-01-01T00:00:00.000Z
7589177609.36,2020-02-01T00:00:00.000Z
13615068295.1,2020-03-01T00:00:00.000Z
6574779798.06,2020-04-01T00:00:00.000Z
1858118143.94,2020-05-01T00:00:00.000Z
2997327486.29,2020-06-01T00:00:00.000Z
3288797081.07,2020-07-01T00:00:00.000Z
5148378043.14,2020-08-01T00:00:00.000Z
3507761356.82,2020-09-01T00:00:00.000Z
3452232619.75,2020-10-01T00:00:00.000Z
1704160477.55,2020-11-01T00:00:00.000Z
4859221740.36,2020-12-01T00:00:00.000Z
1843151688.18,2021-01-01T00:00:00.000Z
4830111663.98,2021-02-01T00:00:00.000Z
8460711077.06,2021-03-01T00:00:00.000Z
3658723815.71,2021-04-01T00:00:00.000Z
1156066905.19,2021-05-01T00:00:00.000Z
2696434434.53,2021-06-01T00:00:00.000Z
1788304785.04,2021-07-01T00:00:00.000Z
1597155028.46,2021-08-01T00:00:00.000Z
5704810327.33,2021-09-01T00:00:00.000Z
1997061842.03,2021-10-01T00:00:00.000Z
2545796604.68,2021-11-01T00:00:00.000Z
5686952241.88,2021-12-01T00:00:00.000Z
2743108846.76,2022-01-01T00:00:00.000Z
2910135485.56,2022-02-01T00:00:00.000Z
4273392032.44,2022-03-01T00:00:00.000Z
3606744889.79,2022-04-01T00:00:00.000Z
5921813482.38,2022-05-01T00:00:00.000Z
4185311614.16,2022-06-01T00:00:00.000Z
1785729638.51,2022-07-01T00:00:00.000Z
7950871533.8,2022-08-01T00:00:00.000Z
3571158318.49,2022-09-01T00:00:00.000Z
3459153691.69,2022-10-01T00:00:00.000Z
2512674224.35,2022-11-01T00:00:00.000Z
3129489469.2,2022-12-01T00:00:00.000Z
2380191939.46,2023-01-01T00:00:00.000Z
3012430215.66,2023-02-01T00:00:00.000Z
5908981609.29,2023-03-01T00:00:00.000Z
5843443295.61,2023-04-01T00:00:00.000Z
2925692169.34,2023-05-01T00:00:00.000Z
1314916565.26,2023-06-01T00:00:00.000Z
1741389028.61,2023-07-01T00:00:00.000Z
1513014455.68,2023-08-01T00:00:00.000Z
2318071881.86,2023-09-01T00:00:00.000Z
2001488014.42,2023-10-01T00:00:00.000Z
1279986094.96,2023-11-01T00:00:00.000Z
158562098.34,2023-12-01T00:00:00.000Z
37971927.47,2024-01-01T00:00:00.000Z
