aggregated_amount,time_period
2551621281.3,2019-03-01T00:00:00.000Z
2400263280.46,2019-04-01T00:00:00.000Z
1026194122.63,2019-05-01T00:00:00.000Z
2253163513.81,2019-06-01T00:00:00.000Z
761794202.74,2019-07-01T00:00:00.000Z
1682282924.41,2019-08-01T00:00:00.000Z
4397162412.26,2019-09-01T00:00:00.000Z
1524473573.61,2019-10-01T00:00:00.000Z
1054877567.56,2019-11-01T00:00:00.000Z
3293825281.0,2019-12-01T00:00:00.000Z
1447641547.87,2020-01-01T00:00:00.000Z
1404940046.56,2020-02-01T00:00:00.000Z
4280521535.07,2020-03-01T00:00:00.000Z
1877981795.71,2020-04-01T00:00:00.000Z
3342592284.05,2020-05-01T00:00:00.000Z
1292204786.84,2020-06-01T00:00:00.000Z
1790285673.19,2020-07-01T00:00:00.000Z
760315879.04,2020-08-01T00:00:00.000Z
1177234003.48,2020-09-01T00:00:00.000Z
1500233044.19,2020-10-01T00:00:00.000Z
2007454607.88,2020-11-01T00:00:00.000Z
2714431371.1,2020-12-01T00:00:00.000Z
4668237089.32,2021-01-01T00:00:00.000Z
1229221002.31,2021-02-01T00:00:00.000Z
2458599445.74,2021-03-01T00:00:00.000Z
1459748770.91,2021-04-01T00:00:00.000Z
765544178.42,2021-05-01T00:00:00.000Z
1985192160.12,2021-06-01T00:00:00.000Z
900407217.22,2021-07-01T00:00:00.000Z
752975455.19,2021-08-01T00:00:00.000Z
3568882204.01,2021-09-01T00:00:00.000Z
1011607897.66,2021-10-01T00:00:00.000Z
914085606.41,2021-11-01T00:00:00.000Z
1799505981.48,2021-12-01T00:00:00.000Z
-32695332.37,2022-01-01T00:00:00.000Z
1577353545.87,2022-02-01T00:00:00.000Z
1471414011.57,2022-03-01T00:00:00.000Z
829103027.06,2022-04-01T00:00:00.000Z
1458138391.66,2022-05-01T00:00:00.000Z
925856567.46,2022-06-01T00:00:00.000Z
782492019.26,2022-07-01T00:00:00.000Z
4007438108.94,2022-08-01T00:00:00.000Z
1759113257.98,2022-09-01T00:00:00.000Z
1174875282.32,2022-10-01T00:00:00.000Z
1286442079.02,2022-11-01T00:00:00.000Z
1554431306.39,2022-12-01T00:00:00.000Z
3544389049.61,2023-01-01T00:00:00.000Z
1219578439.48,2023-02-01T00:00:00.000Z
4125113399.38,2023-03-01T00:00:00.000Z
1723017368.26,2023-04-01T00:00:00.000Z
1039464568.36,2023-05-01T00:00:00.000Z
1243233689.89,2023-06-01T00:00:00.000Z
1634006737.99,2023-07-01T00:00:00.000Z
654398110.33,2023-08-01T00:00:00.000Z
4551390229.14,2023-09-01T00:00:00.000Z
1222600238.08,2023-10-01T00:00:00.000Z
470834113.28,2023-11-01T00:00:00.000Z
107816525.61,2023-12-01T00:00:00.000Z
406611.34,2024-01-01T00:00:00.000Z
