aggregated_amount,time_period
997519871.04,2019-04-01T00:00:00.000Z
1087470453.89,2019-05-01T00:00:00.000Z
890774795.1,2019-06-01T00:00:00.000Z
876959892.33,2019-07-01T00:00:00.000Z
1947697134.41,2019-08-01T00:00:00.000Z
2284805645.25,2019-09-01T00:00:00.000Z
1262232472.57,2019-10-01T00:00:00.000Z
935579690.61,2019-11-01T00:00:00.000Z
4521912793.01,2019-12-01T00:00:00.000Z
6395192235.48,2020-01-01T00:00:00.000Z
1620508230.01,2020-02-01T00:00:00.000Z
3502535232.53,2020-03-01T00:00:00.000Z
1252396024.66,2020-04-01T00:00:00.000Z
920532352.38,2020-05-01T00:00:00.000Z
1470978380.18,2020-06-01T00:00:00.000Z
739281103.72,2020-07-01T00:00:00.000Z
980152944.12,2020-08-01T00:00:00.000Z
1923686161.79,2020-09-01T00:00:00.000Z
947449338.61,2020-10-01T00:00:00.000Z
1203372145.07,2020-11-01T00:00:00.000Z
1557687671.27,2020-12-01T00:00:00.000Z
3616341937.04,2021-01-01T00:00:00.000Z
2354130086.99,2021-02-01T00:00:00.000Z
4252857202.61,2021-03-01T00:00:00.000Z
1179288225.59,2021-04-01T00:00:00.000Z
1299265731.83,2021-05-01T00:00:00.000Z
947358037.01,2021-06-01T00:00:00.000Z
851603019.97,2021-07-01T00:00:00.000Z
783781412.09,2021-08-01T00:00:00.000Z
1485440694.33,2021-09-01T00:00:00.000Z
413419134.06,2021-10-01T00:00:00.000Z
1486615679.8,2021-11-01T00:00:00.000Z
1157524428.25,2021-12-01T00:00:00.000Z
3445415504.76,2022-01-01T00:00:00.000Z
1722863051.63,2022-02-01T00:00:00.000Z
4517667368.06,2022-03-01T00:00:00.000Z
797543674.83,2022-04-01T00:00:00.000Z
2157645095.88,2022-05-01T00:00:00.000Z
2979002369.75,2022-06-01T00:00:00.000Z
2128515658.53,2022-07-01T00:00:00.000Z
2462068489.82,2022-08-01T00:00:00.000Z
1407346267.17,2022-09-01T00:00:00.000Z
584123429.32,2022-10-01T00:00:00.000Z
1410694351.73,2022-11-01T00:00:00.000Z
1085059238.13,2022-12-01T00:00:00.000Z
3156735152.98,2023-01-01T00:00:00.000Z
4279361061.77,2023-02-01T00:00:00.000Z
3720531470.03,2023-03-01T00:00:00.000Z
899216253.83,2023-04-01T00:00:00.000Z
2703538320.26,2023-05-01T00:00:00.000Z
1739859716.28,2023-06-01T00:00:00.000Z
713968954.22,2023-07-01T00:00:00.000Z
2249838487.94,2023-08-01T00:00:00.000Z
1784116410.25,2023-09-01T00:00:00.000Z
538302846.69,2023-10-01T00:00:00.000Z
1779701791.94,2023-11-01T00:00:00.000Z
229838.03,2023-12-01T00:00:00.000Z
590143.51,2024-01-01T00:00:00.000Z
