aggregated_amount,time_period
1074724232.68,2019-05-01T00:00:00.000Z
1054123519.85,2019-06-01T00:00:00.000Z
1337710283.77,2019-07-01T00:00:00.000Z
717081054.02,2019-08-01T00:00:00.000Z
3231686266.09,2019-09-01T00:00:00.000Z
744433888.32,2019-10-01T00:00:00.000Z
598129543.73,2019-11-01T00:00:00.000Z
1410221903.75,2019-12-01T00:00:00.000Z
1057510151.01,2020-01-01T00:00:00.000Z
1407627658.46,2020-02-01T00:00:00.000Z
1707071551.87,2020-03-01T00:00:00.000Z
1884879635.55,2020-04-01T00:00:00.000Z
952248116.01,2020-05-01T00:00:00.000Z
1308502492.38,2020-06-01T00:00:00.000Z
624209243.65,2020-07-01T00:00:00.000Z
745873316.12,2020-08-01T00:00:00.000Z
1943447523.52,2020-09-01T00:00:00.000Z
797207507.46,2020-10-01T00:00:00.000Z
849619977.93,2020-11-01T00:00:00.000Z
1197354360.95,2020-12-01T00:00:00.000Z
1098743304.29,2021-01-01T00:00:00.000Z
1424623207.3,2021-02-01T00:00:00.000Z
3069080304.26,2021-03-01T00:00:00.000Z
1307192147.89,2021-04-01T00:00:00.000Z
1037600572.51,2021-05-01T00:00:00.000Z
805767043.64,2021-06-01T00:00:00.000Z
834652589.58,2021-07-01T00:00:00.000Z
564094175.47,2021-08-01T00:00:00.000Z
1606801430.31,2021-09-01T00:00:00.000Z
933567691.58,2021-10-01T00:00:00.000Z
572274549.49,2021-11-01T00:00:00.000Z
2327210418.89,2021-12-01T00:00:00.000Z
651989430.19,2022-01-01T00:00:00.000Z
753618176.99,2022-02-01T00:00:00.000Z
1994529466.21,2022-03-01T00:00:00.000Z
1402516677.03,2022-04-01T00:00:00.000Z
1639510339.51,2022-05-01T00:00:00.000Z
1285311902.12,2022-06-01T00:00:00.000Z
812790404.76,2022-07-01T00:00:00.000Z
1134711500.43,2022-08-01T00:00:00.000Z
1199231367.76,2022-09-01T00:00:00.000Z
1200991449.52,2022-10-01T00:00:00.000Z
1266494632.91,2022-11-01T00:00:00.000Z
963983528.51,2022-12-01T00:00:00.000Z
2766847311.83,2023-01-01T00:00:00.000Z
1761789784.76,2023-02-01T00:00:00.000Z
2197606006.16,2023-03-01T00:00:00.000Z
863696692.88,2023-04-01T00:00:00.000Z
763491108.26,2023-05-01T00:00:00.000Z
1192109243.93,2023-06-01T00:00:00.000Z
887371594.05,2023-07-01T00:00:00.000Z
827483753.22,2023-08-01T00:00:00.000Z
1892209147.4,2023-09-01T00:00:00.000Z
1056851087.82,2023-10-01T00:00:00.000Z
816956787.86,2023-11-01T00:00:00.000Z
54650218.08,2023-12-01T00:00:00.000Z
63030375.22,2024-01-01T00:00:00.000Z
