aggregated_amount,time_period
987726892.11,2019-06-01T00:00:00.000Z
273659142.62,2019-07-01T00:00:00.000Z
431046300.91,2019-08-01T00:00:00.000Z
3985921982.6,2019-09-01T00:00:00.000Z
641617212.05,2019-10-01T00:00:00.000Z
1026992880.69,2019-11-01T00:00:00.000Z
700325247.28,2019-12-01T00:00:00.000Z
919047183.25,2020-01-01T00:00:00.000Z
170040616.62,2020-02-01T00:00:00.000Z
1115303067.87,2020-03-01T00:00:00.000Z
646064909.2,2020-04-01T00:00:00.000Z
713318038.71,2020-05-01T00:00:00.000Z
3563302643.46,2020-06-01T00:00:00.000Z
1473710166.91,2020-07-01T00:00:00.000Z
691074186.81,2020-08-01T00:00:00.000Z
3232201966.38,2020-09-01T00:00:00.000Z
1207401285.16,2020-10-01T00:00:00.000Z
1204039372.37,2020-11-01T00:00:00.000Z
1798123768.8,2020-12-01T00:00:00.000Z
1434642697.72,2021-01-01T00:00:00.000Z
2333091261.0,2021-02-01T00:00:00.000Z
2651771071.52,2021-03-01T00:00:00.000Z
1727534617.72,2021-04-01T00:00:00.000Z
1198139421.9,2021-05-01T00:00:00.000Z
1783009922.09,2021-06-01T00:00:00.000Z
2283893577.83,2021-07-01T00:00:00.000Z
757559189.94,2021-08-01T00:00:00.000Z
2986938367.9,2021-09-01T00:00:00.000Z
554088804.02,2021-10-01T00:00:00.000Z
923501520.98,2021-11-01T00:00:00.000Z
3000027005.43,2021-12-01T00:00:00.000Z
1588555883.38,2022-01-01T00:00:00.000Z
620669934.77,2022-02-01T00:00:00.000Z
2385087251.14,2022-03-01T00:00:00.000Z
1409910546.8,2022-04-01T00:00:00.000Z
3048232402.34,2022-05-01T00:00:00.000Z
4964656565.36,2022-06-01T00:00:00.000Z
2023394768.47,2022-07-01T00:00:00.000Z
2310329106.14,2022-08-01T00:00:00.000Z
3722514577.96,2022-09-01T00:00:00.000Z
469081500.34,2022-10-01T00:00:00.000Z
2439073738.99,2022-11-01T00:00:00.000Z
2605558717.65,2022-12-01T00:00:00.000Z
1908502628.71,2023-01-01T00:00:00.000Z
2017469092.6,2023-02-01T00:00:00.000Z
5648319821.02,2023-03-01T00:00:00.000Z
1050751141.74,2023-04-01T00:00:00.000Z
2360533099.47,2023-05-01T00:00:00.000Z
4718413104.74,2023-06-01T00:00:00.000Z
1901731809.99,2023-07-01T00:00:00.000Z
2349878158.13,2023-08-01T00:00:00.000Z
1648789848.37,2023-09-01T00:00:00.000Z
401017652.02,2023-10-01T00:00:00.000Z
242885370.31,2023-11-01T00:00:00.000Z
4886765.82,2023-12-01T00:00:00.000Z
8346385.9,2024-01-01T00:00:00.000Z
